Company,Symbol,Weight
Devon Energy Corp,DVN,0.091125
Dupont De Nemours Inc,DD,0.090938
Costar Group Inc,CSGP,0.090381
Fidelity National Info Serv,FIS,0.090297
Cummins Inc,CMI,0.089521
Bank of New York Mellon Corp,BK,0.089384
Cognizant Tech Solutions A,CTSH,0.089026
Illumina Inc,ILMN,0.088805
Prudential Financial Inc,PRU,0.08805
Ww Grainger Inc,GWW,0.08787
Resmed Inc,RMD,0.08781
Public Service Enterprise Gp,PEG,0.086536
Fastenal Co,FAST,0.086046
Baker Hughes Co,BKR,0.085619
Discover Financial Services,DFS,0.084387
Allstate Corp,ALL,0.083017
Constellation Energy,CEG,0.082847
Digital Realty Trust Inc,DLR,0.082802
Kroger Co,KR,0.082643
Mettler Toledo International,MTD,0.082461
Halliburton Co,HAL,0.082461
Kraft Heinz Co,KHC,0.081833
Ge Healthcare Technology,GEHC,0.081523
Warner Bros Discovery Inc,WBD,0.081022
Republic Services Inc,RSG,0.081015
Lennar Corp A,LEN,0.080806
Keysight Technologies In,KEYS,0.08078
Old Dominion Freight Line,ODFL,0.079902
American Water Works Co Inc,AWK,0.079316
Wec Energy Group Inc,WEC,0.078753
Amerisourcebergen Corp,ABC,0.078433
Zimmer Biomet Holdings Inc,ZBH,0.077914
P G & E Corp,PCG,0.077043
Dollar Tree Inc,DLTR,0.076885
Ansys Inc,ANSS,0.076163
Vulcan Materials Co,VMC,0.076017
Equifax Inc,EFX,0.075739
Oneok Inc,OKE,0.07536
Global Payments Inc,GPN,0.074929
United Rentals Inc,URI,0.074905
Gartner Inc,IT,0.074664
Keurig Dr Pepper Inc,KDP,0.073963
Arch Capital Group Ltd,ACGL,0.07353
Martin Marietta Materials,MLM,0.073455
Quanta Services Inc,PWR,0.073449
Edison International,EIX,0.073197
State Street Corp,STT,0.072793
Avalonbay Communities Inc,AVB,0.072645
Aptiv Plc,APTV,0.072643
Hp Inc,HPQ,0.072291
Albemarle Corp,ALB,0.071526
West Pharmaceutical Services,WST,0.071309
Xylem Inc,XYL,0.071266
Ingersoll Rand Inc,IR,0.070938
T Rowe Price Group Inc,TROW,0.07089
Cbre Group Inc   A,CBRE,0.070465
Eversource Energy,ES,0.069811
Enphase Energy Inc,ENPH,0.069166
Diamondback Energy Inc,FANG,0.068898
Sba Communications Corp,SBAC,0.068693
Delta Air Lines Inc,DAL,0.068508
Ebay Inc,EBAY,0.068221
Fortive Corp,FTV,0.067908
Corning Inc,GLW,0.067836
Tractor Supply Company,TSCO,0.067222
Willis Towers Watson Plc,WTW,0.066989
Lyondellbasell Indu Cl A,LYB,0.065261
Cdw Corp/de,CDW,0.065172
Walgreens Boots Alliance Inc,WBA,0.063941
Hartford Financial Svcs Grp,HIG,0.063674
